codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
CNSG;;;;;;
CNVI;ATE VI CAMPO;;08.635.011/0001-50;;;
COAP;;;;;;
COAS;;;;;;
COBA;UNICOBA IND;;07.589.288/0001-20;;;
COCE;COELCE;COCE5;09/10/1995;07.047.251/0001-70;Distribuição de energia elétrica.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CODE;CODEME;;16.521.601/0001-80;;;
COER;;;;;;
COGN;COGNA ON;COGN3;08/06/2007;02.800.026/0001-40;A Companhia tem por objeto a participação. como sócia ou acionista. em sociedades que explorem a administração de atividades de educação.;ITAU CORRETORA ACOES
COLE;;;;;;
COLN;ROD COLINAS;;03.025.305/0001-46;Exploração do Sistema Rodoviário relativo ao Lote 13: Malha Rodoviária Estadual de Ligação entre Rio Claro. Piracicaba. Tietê. Jundiaí e Itu. Campinas.;Bens Industriais / Transporte / Exploração de Rodovias;RODOVIAS DAS COLINAS S.A.
COMR;COMERC PAR;COMR3;12/11/2021;25.369.840/0001-57;"Partic. em outras soc. no setor de energia. infraest. e afins; prestação de serviços de consult. e gerenciamento de energia elétrica de consumidores livres; e compra. import..export..venda de energia";ITAU CORRETORA ACOES
CONE;CONE;;11.860.795/0001-24;;;
CONF;;;;;;
CONR;RODPIRA-PANO;;36.146.575/0001-64;;Bens Industriais / Transporte / Exploração de Rodovias;SANTANDER
CORE;COREMAS HOLD;;35.516.163/0001-06;;;
CORK;;;;;;
COTV;COTIAVITORIA;;01.826.229/0001-42;;;
CPCC;CIA PART CON;;09.367.702/0001-82;;;
CPCE;;;;;;
CPCL;;;;;;
CPDA;;;;;;
CPEL;;;;;;
CPFC;CPFLCOMERCBR;;04.973.790/0001-42;;;
CPFE;CPFL ENERGIA;CPFE3;02/06/2003;02.429.144/0001-93;Gestão de Participações Societárias (Holdings);BRASIL
CPFG;CPFL GERACAO;;03.953.509/0001-47;Geração de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;BRASIL
CPFP;CPFL PIRATIN;;04.172.213/0001-51;Prestação de serviços públicos de distribuição de energia elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;BRASIL
CPFS;CPFL;;58.635.517/0001-37;;;
CPGS;COMPAGAS;;00.535.681/0001-92;;;
CPGT;COPEL G T SA;;04.370.282/0001-70;Geração. Transmissão. Comercialização de Energia e Prestação de Serviços Correlatos;Não Classificados / Não Classificado / Não Classificados;EMPRESA
CPIS;CEPISA;;06.840.748/0001-89;;;
CPJG;CIAJAGUARI;;53.859.112/0001-69;;;
CPLD;COPELSA;;04.368.898/0001-06;Prestação de serviço de distribuição de energia elétrica e serviços correlatos.;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA DEBENTURES
CPLE;COPEL;CPLE5;12/04/1994;76.483.817/0001-20;Geração. Transmissão. Comercialização e Distribuição de Energia Elétrica;ITAU CORRETORA ACOES
CPMS;CPM;;65.599.953/0001-63;;;
CPNA;CIAALCOOL;;60.881.299/0001-62;;;
CPNB;ARTHURLUNDG;;61.099.834/0001-90;;;
CPOG;;;;;;
CPOR;COMPORTEPART;;05.169.726/0001-76;;;
CPPA;;;31.590.862/0001-45;;;
CPQB;CPQBRASIL;;74.552.068/0001-10;;;
CPRB;RBCAP;;20.502.525/0001-32;;;
CPRE;CPFL RENOVAV;;08.439.659/0001-50;Geração de energias renováveis.;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
CPTE;CACHOEIRA;;05.336.882/0001-84;;Utilidade Pública / Energia Elétrica / Energia Elétrica;CACHOEIRA PAULISTA TRANSMIS. ENERGIA S.A
CPTM;LIGGA TELEC;;04.368.865/0001-66;;;
CPVV;CAMPOSVENTOS;;10.797.888/0001-99;;;
CPXB;ETCCAPIXABA;;25.224.658/0001-08;;;
CPXD;;;;;;
CQGV;CONSTRUTORAG;;33.412.792/0001-60;;;
CRBD;RT BANDEIRAS;;10.647.979/0001-48;Exploração. sob o regime de concessão. do sistema rodoviário constituído pela malha rodoviária estadual do Corredor Dom Pedro I;Bens Industriais / Transporte / Exploração de Rodovias;BRADESCO
CRBP;CARBONO PART;;31.481.107/0001-22;;;
CRBZ;BRAZILIENSE;;00.001.172/0001-80;;;
CRCF;;;;;;
CRCG;CIASECURIT;;35.522.178/0001-87;;;
CRED;CREDZ;;12.109.247/0001-20;;;
CREM;;;;;;
CRFB;;CRFB3;20/07/2017;75.315.333/0001-09;"Comércio varejista e atacadista de mercadorias em geral; Carga e descarga; Correspondentes de instituições financeiras; Atividades de teleatendimento; Serviços de Alimentação entre outros";ITAU CORRETORA ACOES
CRFN;VERT PROVI;;34.469.625/0001-19;;;
CRHF;CARBON HOLD;;29.267.972/0001-29;;;
CRII;COREMAS II;;36.401.730/0001-41;;;
CRMD;;;;;;
CRMX;CROMEX;;02.271.463/0001-13;;;
CRNG;;;;;;
CRNI;CAPRICORNIO;;60.745.411/0001-38;;;
CRNP;;;;;;
CRPG;CRISTAL;CRPG5;23/12/1970;15.115.504/0001-24;Produção e o comércio de produtos químicos. especialmente pigmento branco de titânio e seus subprodutos.;ITAU CORRETORA ACOES
CRPL;;;;;;
CRRP;;;;;;
CRSM;CROMOSSOMOII;;13.487.195/0001-98;;;
CRTE;CONC RIO TER;CRTE5;11/10/2023;00.938.574/0001-05;Administração. Operação e Conservação de Rodovia;CONCESSIONARIA RIO-TERESOPOLIS S.A.
CRTR;RODTRIANG;;48.127.012/0001-08;A exploração. sob regime de concessão. do complexo rodoviário Triangulo Mineiro. conforme Edital de Concessão da Concorrência Internacional n.º 002/2021 da SEINFRA.;Construção e Transporte / Transporte / Exploração de Rodovias;OLIVEIRA TRUST
CRUE;;;;;;
CRUM;CORUMBA;;04.066.598/0001-72;;;
CRUN;CARUANAPART;;07.882.656/0001-24;;;
CSAA;;;;;;
CSAN;;CSAN3;18/11/2005;50.746.577/0001-15;Produção de Açúcar. Etanol e Cogeração de Energia. Distribuição de Combustíveis.Produção e Distribuição de Lubrificantes.Tranporte e Carregamento de Açúcar. Operador de Terras e Distribuição de Gás.;ITAU CORRETORA ACOES
CSBN;CSBIO;;20.595.947/0001-08;;;
CSBR;CS BR PARTIC;;35.502.310/0001-99;;;
CSBT;CS BR TRANSP;;10.965.693/0001-00;;;
CSCF;CONSIGNADOS;;29.894.663/0001-89;;;
CSCS;CIFRACFI;;08.030.215/0001-67;;;
CSDC;ENOVA;;46.948.287/0001-87;;;
CSED;CRUZEIRO EDU;CSED3;11/02/2021;62.984.091/0001-02;Atividades relacionadas à prestação de serviços do setor de educação e áreas associadas. administração de bens próprios e participação em outras sociedades.;BRADESCO
CSFR;CSBRASILFROT;;27.595.780/0001-16;;;
CSHO;CSBRASILHOLD;;41.934.221/0001-14;;;
CSIX;CSIXERS HOLD;;33.791.596/0001-44;;;
CSMG;COPASA;CSMG3;08/02/2006;17.281.106/0001-03;Planejar. executar. ampliar. remodelar e explorar serviços públicos de saneamento básico. envolvendo abastecimento de água potável. esgotamento sanitário e limpeza urbana e manejo de resíduos sólidos.;BRADESCO
CSNA;SID NACIONAL;CSNA3;02/08/1993;33.042.730/0001-04;A Companhia Siderúrgica Nacional atua nos setores de mineração. siderurgia. logística. cimento e energia.;BRADESCO
CSNP;SINOPENERG;;19.527.586/0001-75;;Não Classificados / Não Classificados / Não Classificado;EMPRESA
CSNS;;;;;;
CSPS;;;;;;
CSRN;COSERN;;08.324.196/0001-81;Serviço Público de Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
CSRR;CONCRIOSP;;44.319.688/0001-42;Prestadora de serviços de recuperação. operação. manutenção. monitoração. conservação. entre São Paulo e Rio de Janeiro. por meio de concessões de rodovias. pontes. túneis e serviços relacionados.;Bens Industriais / Transporte / Transporte Rodoviário;ITAUBANCO - DEBENTURES
CSSA;;;;;;
CSSB;M.CASSAB COM;;49.698.723/0001-03;;;
CSTI;;;;;;
CSTR;;;;;;
CSUD;CSU DIGITAL;CSUD3;02/05/2006;01.896.779/0001-38;Terceirização em administração e processamento de meios eletrônicos de pagamento. gestão em terceirização de contact center. desenvolvimento e gestão operacional de programas de fidelidade e incentivo;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CSVE;;;;;;
CSVO;;;;;;
CTCA;CTC S.A.;CTCA3;01/09/2016;06.981.381/0001-13;Com sua atuação em biotecnologia e melhoramento genético o CTC busca busca promover o aumento da produtividade. a redução de custos e soluções agrícolas e industriais para o setor sucroenergético.;ITAU CORRETORA ACOES
CTCP;;;;;;
CTEP;CORPOREOS;;08.845.676/0001-98;;;
CTGE;CGTELETROSUL;;02.016.507/0001-69;;;
CTGO;CARTAGOIAS;;03.752.385/0001-31;;;
CTKA;KARSTEN;CTKA4;29/12/1971;82.640.558/0001-04;Fabricação. exportação. importação e o comércio atacadista e varejista de fios. tecidos e produtos têxteis em geral.;BRADESCO
CTMS;COTEMINASSA;;07.663.140/0001-99;;;
CTNM;COTEMINAS;CTNM4;24/03/1992;22.677.520/0001-76;Holding;CIA TECIDOS NORTE DE MINAS COTEMINAS
CTNS;ENERTOCANTIN;;25.086.034/0001-71;;;
CTOL;VIARIO;;15.440.708/0001-30;;;
CTPL;CATERPILLARB;;02.658.435/0001-53;;;
CTRL;CETREL;;14.414.973/0001-81;;;
CTRR;CANTAREIRA;;20.732.109/0001-20;;;
CTSA;SANTANENSE;CTSA4;20/12/1984;21.255.567/0001-89;Indústria têxtil;CIA TECIDOS SANTANENSE
CTTL;;;;;;
CTTP;;;;;;
CTVL;FRANCIS TEXT;;02.710.680/0001-62;;;
CURY;CURY S/A;CURY3;21/09/2020;08.797.760/0001-83;Somos uma companhia com foco na incorporação e construção de empreendimentos residenciais enquadrados no programa habitacional Minha Casa Minha Vida e Sistema Brasileiro de Poupança e EmpréstimoSBPE;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CUTI;CUTIA;;10.979.076/0001-64;;;
CVAN;CAVANROCBRA;;12.411.822/0001-44;;;
CVCB;CVC BRASIL;CVCB3;09/12/2013;10.760.260/0001-19;Serviços de turismo. compreendendo a intermediação. individualmente ou na forma agregada. de passagens aéreas. transporte terrestre. reservas de hotéis. passagens de cruzeiros marítimos. entre outros.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CVCN;CONVICON;;06.013.760/0001-10;;;
CVLT;;;;;;
CVRJ;CASAEVIDEO;;11.114.284/0001-63;;;
CVRT;VERT FINTECH;;30.219.233/0001-40;;;
CXER;MORRINHOSENE;;20.829.557/0001-47;;;
CXSE;CAIXA SEGURI;CXSE3;29/04/2021;22.543.331/0001-00;Participar. direta ou indiretamente. do capital de outras sociedades relacionadas a seguridade e corretagem de seguros.;BRADESCO
CYRE;CYRELA REALT;CYRE3;18/07/1994;73.178.600/0001-18;Incorporação Imobiliária;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
DACM;CAMACARI;;01.944.031/0001-63;;;
DALG;;;;;;
DASA;DASA;DASA3;19/11/2004;61.486.650/0001-83;Medicina Diagnóstica. Hospitais e Oncologia.;ITAU CORRETORA ACOES
DB3S;;;;;;
DBEN;DIBENS LSG;;65.654.303/0001-73;Arrendamento Mercantil;Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil;DIBENS LEASING S.A. - ARREND.MERCANTIL
DBRV;DOBREVE;;10.827.444/0001-59;;;
DBSA;DEUTSCHEBM;;62.331.228/0001-11;;;
DCEL;;;;;;
DCHO;DELIVERY CEN;;26.712.233/0001-00;;;
DCLS;MERCEDESBBM;;60.814.191/0001-57;;;
DDQU;;;;;;
DEET;DELTA 8;;30.853.820/0001-97;;;
DEHO;;;;;;
DELG;DELGA;;61.532.198/0001-49;;;
DENE;;;;;;
DENG;DELTA5;;18.496.468/0001-84;;;
DESA;DELTA6;;18.496.440/0001-47;;;
DESK;DESKTOP;DESK3;21/07/2021;08.170.849/0001-15;Serviços de telefonia fixa. telecomunicações sem fio. televisão por assinatura. provedores de acesso às redes de comunicações e voz. tratamento de dados. provedores de serviços de aplicação.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
DETA;DELTA 7;;30.866.030/0001-46;;;
DETR;TRAVDELTASEC;;41.719.223/0001-90;;;
DEXP;DEXXOS PAR;DEXP4;23/03/2000;02.193.750/0001-52;Holding de instituições não-financeiras;ITAU CORRETORA ACOES
DFNG;CLINICADELFI;;16.047.490/0001-11;;;
DGBL;DGBGEO;;03.555.201/0001-43;;;
DGRA;;;;;;
DGSP;;;61.412.110/0001-55;;;
DGTL;;;;;;
DIKK;DICCKER;;10.591.387/0001-51;;;
DIRR;DIRECIONAL;DIRR3;19/11/2009;16.614.075/0001-00;Incorporação. construção e comercialização de imóveis próprios ou de terceiros e prestação de serviços de engenharia.;ITAU CORRETORA ACOES
DIXE;;;;;;
DMAD;DMA DISTRIBU;;01.928.075/0001-08;;;
DMCA;;;;;;
DMCR;DMCARD;;16.581.207/0001-37;;;
DMCS;DMCARD SEC;;36.238.874/0001-29;;;
DMFN;DMFINANCEIRA;DMFN3;22/05/1981;91.669.747/0001-92;FINANCIAMENTO DE BENS E SERVIÇOS - INTERMEDIAÇÃO FINANCEIRA;BRASIL
DMPR;DMPARTICIP;;31.406.885/0001-57;;;
DMRJ;ELEA DIGITAL;;35.980.592/0001-30;Infraestrutura de telecomunicações. com desenvolvimento. construção e operação de redes. fornecimento de serviços. locação e manutenção de equipamentos. locação de espaço físico. hospedagem web.;Comunicações / Telecomunicações / Telecomunicações;BRADESCO - DEBENT.
DMTA;;;;;;
DMVF;D1000VFARMA;DMVF3;10/08/2020;12.108.897/0001-50;A Companhia tem por objeto a participação. como sócia ou acionista. em outras sociedades do varejo farmacêutico. nacionais ou estrangeiras.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
DNBG;DIANABIOENER;;45.902.707/0001-21;;;
DOBR;DOBREVEPART;;80.983.992/0001-53;;;
DOHL;DOHLER;DOHL4;16/09/1981;84.683.408/0001-03;Tecelagem de Fios de Algodão e Fibras sintéticas;BRADESCO
DOTZ;;DOTZ3;31/05/2021;18.174.270/0001-84;"Desenvolvimento e gerenciamento de programa de fidelização de clientes em razão do consumo de bens e serviços oferecidos por parceiros; comercialização de direitos de resgate e prêmios.";ITAU CORRETORA ACOES
DOXB;DOXDOBRASILC;;11.240.586/0001-88;;;
DPAS;COMERCIALSA;;45.987.005/0001-98;;;
DPGR;DIPAGRO LTDA;;06.338.993/0001-92;;;
DRDE;;;;;;
DRES;SCOTIABANKBM;;29.030.467/0001-66;;;
DSBG;PRINCIPALDSB;;17.020.505/0001-10;;;
DTCY;DTCOM-DIRECT;DTCY4;28/06/2002;03.303.999/0001-36;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;BRADESCO
DUFR;;;;;;
DUTE;;;;;;
DUTI;DELTASULUTIL;;98.102.924/0001-01;;;
DVOM;DIVCOM;;03.755.215/0001-00;;;
DXCO;DEXCO;DXCO3;08/10/2009;97.837.181/0001-47;Fabricação. Comércio. Importação e Exportação de Produtos derivados de Madeira. de Produtos de Metais e Materiais Cerâmicos;ITAU CORRETORA ACOES
DYDC;DYN DC DATA;;34.878.437/0001-44;;;
EAGU;TAIBAAGUIA;;11.477.009/0001-04;;;
EALT;ACO ALTONA;EALT4;20/04/1974;82.643.537/0001-34;Fundição de Ferro e Aço;ITAU CORRETORA ACOES
EAND;EOLICATAIBA;;11.477.020/0001-74;;;
EANG;;;14.570.783/0001-53;;;
EATE;EATE;;04.416.935/0001-04;;;
EATL;ESTALEIROSUL;;07.699.082/0001-53;;;
EAZT;;;;;;
EBAG;EBAM;;10.476.221/0001-94;;;
EBAS;;;;;;
EBEN;EBE;;02.302.100/0001-06;Distribuição de energia elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAUBANCO - ACOES
EBFD;EOLICAFEIJAO;;14.496.545/0001-45;;;
EBFQ;EOLICAFEIJAO;;14.496.317/0001-75;;;
EBFT;EOLICAFEIJAO;;14.496.290/0001-10;;;
EBFU;EOLICAFEIJAO;;14.496.492/0001-62;;;
EBIG;SHOPCIDADAO;;07.917.303/0001-12;;;
EBLM;SEMEARBM;;00.795.423/0001-45;;;
EBNX;;;;;;
EBRA;EBRASIL;;10.538.273/0001-48;;;
EBSE;;;;;;
EBTE;EBTEEMP;;10.319.371/0001-94;;;
EBVA;VISTAALEGRE;;14.180.940/0001-14;;;
ECAR;ECAR;;15.090.690/0001-94;A realização. sob regime de concessão. da exploração da infraestrutura e da prestação de serviços públicos. conforme Edital de Concessão 01/2021 da Agência Nacional de Transportes Terrestres (ANTT).;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ECER;CONCECOVIAS;;35.593.905/0001-05;A realização. sob regime de concessão. da prestação de serviços públicos. conforme Edital de Concessão 01/2019. da Agência Nacional de Transportes Terrestres (ANTT).;Não Classificados / Não Classificado / Não Classificados;EMPRESA
ECGN;ECOGEN;;05.401.842/0001-79;;;
ECHP;ECHOENERGIA;;24.743.678/0001-22;;;
ECIR;;;;;;
ECJO;;;;;;
ECOA;ECO SEC AGRO;;10.753.164/0001-43;Aquisição de direitos creditórios do agronegócio e imobiliários com a consequente emissão de Certificados de Recebíveis do Agronegócio ou Imóbiliários no mercado financeiro e de capitais.;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;BNY MELLON SERVIÇOS FINANCEIROS DTVM S.A
ECOL;COLONIA;;11.476.958/0001-70;;;
ECOQ;COQUEIRINHO;;14.570.819/0001-07;;;
ECOR;ECORODOVIAS;ECOR3;01/04/2010;04.149.454/0001-80;Exploração direta ou indireta de negócios de concessão de obras e serviços públicos e organização logísitica do transporte de carga.;ITAU CORRETORA ACOES
ECOS;ECOSUL;;02.511.048/0001-90;;;
ECOV;ECOVIAS;;02.509.491/0001-26;Concessão e exploração de rodovias;Bens Industriais / Transporte / Exploração de Rodovias;BRADESCO
ECPN;ECOPONTE;;22.163.297/0001-49;Concessão e Exploração de Rodovias;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ECPO;ECOPORTO S/A;;02.390.435/0001-15;;;
ECRD;ECORODOANEL;;29.884.545/0001-90;A realização. sob regime de concessão. da exploração da infraestrutura e da prestação de serviços públicos. conforme Edital de Concessão nº 01/2022 da Agência Nacional de Transportes Terrestres (ANTT);Construção e Transporte / Transporte / Transporte Rodoviário;ITAUBANCO - DEBENTURES
ECRJ;PEDRARAJADA;;21.909.246/0001-50;;;
ECRP;CORRUPIAO;;14.570.800/0001-52;;;
ECSM;;;05.881.258/0001-68;;;
ECTE;ECTESA;;03.984.987/0001-14;;;
ECTT;CAITITU;;14.570.861/0001-10;;;
ECVM;CONCESSIONAR;;02.221.155/0001-83;;;
EDAT;ATICA;;61.259.958/0001-96;;;
EDCM;EDUCAMAIS;;26.846.421/0001-21;;;
EDED;EDUCACIONAL;;38.733.648/0001-40;;;
EDFT;;;;;;
EDFY;;;;;;
EDPA;EDPALIANCASC;;27.831.352/0001-45;;;
EDPC;;;;;;
EDPR;EDPRENOVAVEI;;09.334.083/0001-20;;;
EDPT;EDPTRANSMISS;;04.705.039/0001-65;;;
EDQP;EDPCENTRAIS;;21.813.271/0001-36;;;
EDSC;SCIPIONE;;44.127.355/0001-11;;;
EDSE;COMPANHIA BR;;06.267.630/0001-03;;;
EDTE;DIAMANTINA;;24.870.962/0001-60;;;
EEEL;CEEE-T;;92.715.812/0001-31;Transmissão de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
EERE;;;;;;
EESG;ENVIRONMENT;;09.527.023/0001-23;"Holding de sociedades que atuam no gerenciamento e valorização de resíduos; manufatura reversa; transporte de cargas; produção e comercialização de produtos; e administração de bens próprios.";Não Classificados / Não Classificado / Não Classificados;EMPRESA
EFXB;EQUIFAXBRL;EFXB31;;47.321.544/0001-19;;
EGBJ;ENELLAPA;;23.266.854/0001-10;;;
EGCL;ENELCRISTEOL;;22.499.471/0001-29;;;
EGCS;ENELCSOLAR;;23.414.549/0001-28;;;
EGGY;GRANJA FARIA;EGGY3;20/12/2023;81.616.807/0001-55;Produção e comercialização de pintos de um dia e de ovos férteis e comerciais. criação de frangos para corte. comércio varejista de hortifrutigranjeiros. restaurante.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
EGIE;ENGIE BRASIL;EGIE3;01/03/2002;02.474.103/0001-19;GERAÇÃO. COMERCIALIZAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA;ITAU CORRETORA ACOES
EGII;ENELCRISTII;;23.049.225/0001-38;;;
EGIT;ENGIE TRANSM;;30.715.875/0001-30;;;
EGLT;ENGELHART;;14.796.754/0001-04;;Consumo não Cíclico / Agropecuária / Agricultura;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
EGME;ENELEOLICA;;19.011.479/0001-90;;;
EGNL;ENELNOVALAPA;;23.509.564/0001-50;;;
EGNO;ENELSULSOLAR;;23.399.563/0001-08;;;
EGNS;ENELOLINORTE;;23.566.105/0001-08;;;
EGPN;ENELNOVAOLIN;;23.416.727/0001-50;;;
EGSP;SAOPATRICIO;;33.600.123/0001-12;;;
EGVE;ENERGIAVENTO;;15.320.903/0001-27;;;
EGVG;ENELVOLTA;;25.176.391/0001-20;;;
EICA;ICARAII;;11.476.987/0001-31;;;
EICD;ICARAIII;;11.477.001/0001-48;;;
EINH;;;14.572.367/0001-94;;;
EKTR;ELEKTRO;EKTR4;25/08/1998;02.328.280/0001-97;Distribuição de Energia Elétrica;ITAU CORRETORA ACOES
EKTT;;;;;;
ELET;ELETROBRAS;ELET5;07/09/1971;00.001.180/0001-26;Empresa Holding de Geração. Transmissão de Energia;ITAU CORRETORA ACOES
ELIT;ELITE ENSINO;;14.011.425/0001-00;;;
ELJO;ELEJOR;;04.557.307/0001-49;;;
ELMD;ELETROMIDIA;ELMD3;17/02/2021;09.347.516/0001-81;Prestação de serviços de distribuição e comercialização de painés eletrônicos e publicidade.;ITAU CORRETORA ACOES
ELOG;ELOG;;60.526.977/0001-79;;;
ELOY;VENTOSS ELOY;;13.319.286/0001-14;;;
ELPL;ELETROPAULO;;61.695.227/0001-93;Distribuição de energia elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
ELPW;ELECTRA;;07.356.196/0001-09;;;
ELRV;ELETRORIVERS;;01.968.293/0001-68;;Utilidade Pública / Energia Elétrica / Energia Elétrica;OLIVEIRA TRUST
ELSJ;SERRA;;10.960.725/0001-85;;;
ELTE;;;;;;
ELTN;ELETRONORTE;;00.357.038/0001-16;;;
ELVA;VACASII;;19.224.741/0001-84;;;
ELVC;SERRADASVACA;;18.127.269/0001-07;;;
ELVM;EOLICAVERMEL;;20.024.563/0001-27;;;
ELVS;EOLICAVACASI;;19.694.110/0001-29;;;
ELVV;SERRADASVACA;;19.694.146/0001-02;;;
ELZM;ELETROZEMA;;26.404.731/0001-96;;;
EMAE;EMAE;EMAE4;31/03/1998;02.302.101/0001-42;Produção de Energia Elétrica;BRADESCO
EMBR;EMBRAER;EMBR3;05/06/2006;07.689.002/0001-89;Projeto. desenvolvimento. fabricação. comercialização de aeronaves e sistemas e fornecimento de suporte e serviços de pós-venda.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
EMBU;;;;;;
EMCC;EMCCAMP;;19.403.252/0001-90;;Não Classificados / Não Classificados / Não Classificado;ITAU CORRETORA ACOES
EMES;;;;;;
EMGP;;;;;;
EMIV;;;;;;
EMLC;VANECK JPM E;EMLC39;;;;
EMMP;;;;;;
EMSA;EMS;;57.507.378/0003-65;;;
ENAT;ENAUTA PART;;11.669.021/0001-10;Participação em sociedades que se dediquem à exploração. produção e comercialização de petróleo. gás natural e seus derivados. seja como sócia ou acionista ou outras formas de associações.;Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição;ITAU CORRETORA ACOES
ENBP;ENC ENERGY B;;29.423.638/0001-17;;;
ENBR;ENERGIAS BR;;03.983.431/0001-03;Área de Negócios: Geração. Distribuição. Transmissão e Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
ENDE;ENELGREEN;;19.046.080/0001-44;;;
ENDS;ENSEADA DO S;;38.044.741/0001-47;;;
ENEL;ENELBRASIL;;07.523.555/0001-67;;;
ENER;ENERSUL;;15.413.826/0001-50;Distribuição de energia elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAUBANCO - ACOES
ENEV;ENEVA;ENEV3;14/12/2007;04.423.567/0001-21;Empresa atuante na área de energia. em especial no segmento de geração. distribuição. comercialização. exportação e importação de energia elétrica. hidrocarbonetos e seus derivados.;ITAU CORRETORA ACOES
ENGE;;;;;;
ENGI;ENERGISA;ENGI11;01/12/2000;00.864.214/0001-06;Sociedade de participações em outras empresas. predominantemente em distribuidoras de energia elétrica.;ITAU CORRETORA ACOES
ENGT;ENERGEST;;04.029.601/0001-88;;;
ENJG;JAGUARA;;28.925.264/0001-75;;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ENJU;ENJOEI;ENJU3;09/11/2020;16.922.038/0001-51;Plataforma digital de compra e venda de para produtos usados. por meio da criação de lojas virtuais pelos próprios usuários;BRADESCO
ENLS;ENELSUDESTE;;29.276.612/0001-93;;;
ENMI;MIRANDA;;28.942.127/0001-49;A principal atividade da Companhia é a geração de energia elétrica mediante a operação da Usina Hidrelétrica Miranda.;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ENMT;ENERGISA MT;ENMT4;14/06/1995;03.467.321/0001-99;Distribuição de energia elétrica;ITAU CORRETORA ACOES
ENOP;;;;;;
ENPX;ENERPEIXE;;04.426.411/0001-02;;;
ENSE;ENERGIPE;;13.017.462/0001-63;Concessionária de serviço público de distribuição de energia elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;EMPRESA
ENTE;EMPRESANORTE;;05.321.987/0001-60;;;
ENTS;VENTOSII;;15.319.876/0001-72;;;
ENTV;ENTREVIAS;;26.664.057/0001-89;Concessão Rodoviária;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ENVE;VENTOSI;;15.321.064/0001-61;;;
EOAP;;;;;;
EOAT;;;;;;
EOII;EOL MARAL II;;33.486.296/0001-51;;;
EOLB;EOLBRISA;;14.095.035/0001-66;;;
EOLV;EOLVENTO;;14.095.008/0001-93;;;
EOLW;EOLWIND;;14.094.988/0001-00;;;
EOMI;EOL MARAL I;;33.486.289/0001-50;;;
EOPM;;;;;;
EOSC;SAOCRISTOVAO;;10.272.500/0001-36;;;
EOSJ;SAOJORGE;;09.571.485/0001-48;;;
EOSP;STOANTONIOPA;;09.601.233/0001-14;;;
EOVC;EOLICAVACAS;;23.441.056/0001-87;;;
EPAR;EMBPAR S/A;EPAR3;18/03/1996;42.331.462/0001-31;"Industrialização e comércio de madeiras; Prestação de serviços sob a forma de trading company; Partic. em outras sociedades.";BRADESCO
EPEH;;;;;;
EPIN;;;;;;
EPNC;;;;;;
EPRI;;;;;;
EPSA;EPASA;;10.366.780/0001-41;;;
EPSD;SUDESTETRANS;;26.643.937/0001-79;;;
EQED;;;;;;
EQMA;EQTLMARANHAO;EQMA5B;29/01/1998;06.272.793/0001-84;Empresa distribuidora de energia elétrica para todo o Estado do Maranhão.;ITAU CORRETORA ACOES
EQPA;EQTL PARA;EQPA5;13/07/1999;04.895.728/0001-80;Distribuição de energia elétrica;ITAU CORRETORA ACOES
EQSE;;;;;;
EQSP;EQUATORIAL 3;;26.845.460/0001-04;;;
EQTC;EQUATORIAL5;;26.845.283/0001-66;;;
