codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
BCEN;;;;;;
BCEP;;;;;;
BCFT;ITAUVEICULOS;;61.190.658/0001-06;;;
BCGE;;;;;;
BCGL;CARGILLBM;;03.609.817/0001-50;;;
BCGM;GMACBM;;59.274.605/0001-13;;;
BCHA;;BCHA39;;;;
BCHD;HONDABM;;03.634.220/0001-65;;;
BCHI;MSCI CHINA;BCHI39;;;;
BCHN;;;10.690.848/0001-43;;;
BCHQ;GX MSCICHINA;BCHQ39;;;;
BCIR;FT NASDCYBER;BCIR39;;;;
BCLB;;;75.647.891/0001-71;;;
BCLO;GX CLOUD CPT;BCLO39;;;;
BCLV;BCLV;;04.871.143/0001-20;;;
BCNY;BKR CHINA A;BCNY39;;;;
BCOM;;BCOM39;;;;
BCPA;;;;;;
BCPS;;;40.432.544/0001-47;;;
BCPX;GX COPPER MN;BCPX39;;;;
BCRB;BKR LOWCARBO;BCRB39;;;;
BCRD;ABNBM;;03.532.415/0001-02;;;
BCRP;PMCO IGR CPI;BCRP39;;;;
BCSF;CSFBM;;08.357.240/0001-50;;;
BCTE;;BCTE39;;;;
BCVR;;;78.626.983/0001-63;;;
BCWV;;;;;;
BCXG;CAIXAGERALBM;;33.466.988/0001-38;;;
BDAX;XTRACKERDAX;;;;Não Classificados / Não Classificado / Não Classificados;
BDEP;BANDEPEBM;;10.866.788/0001-77;;;
BDLL;;BDLL4;26/11/1969;60.851.615/0001-53;Bens de capital. Produtos e Serviços para os segmentos de Metalurgia. Movimentação de Materiais. Óleo e Gás. Energia e Aços Laminados e Trefilados. para os mercados nacionais e internacional;ITAU CORRETORA ACOES
BDLS;BRADESCO LSG;;47.509.120/0001-82;Prática das operações de arrendamento mercantil. observadas as disposições da legislação em vigor.;Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil;BRADESCO
BDRE;;BDRE39;;;;
BDRI;;BDRI39;;;;
BDVD;GX SUPDIV US;BDVD39;;;;
BDVE;BKR EMER DIV;BDVE39;;;;
BDVY;;BDVY39;;;;
BDWP;;;31.917.202/0001-26;;;
BEAG;;BEAG39;;;;
BECH;;BECH39;;;;
BEDC;GX TLMEDC DH;BEDC39;;;;
BEEF;MINERVA;BEEF3;20/07/2007;67.620.377/0001-14;Líder na América do Sul na exportação de carne bovina in natura e seus derivados. e que atua também no segmento de processados.;ITAU CORRETORA ACOES
BEEM;;BEEM39;;;;
BEES;;BEES4;20/07/1977;28.127.603/0001-78;Intermediação Financeira inerente aos Bancos Múltiplos por meio das carteiras autorizadas. inclusive Operações de Câmbio.;ITAUBANCO - ACOES
BEFA;MSCI EAFE;BEFA39;;;;
BEFG;MSCIEAFEGROW;BEFG39;;;;
BEFV;;BEFV39;;;;
BEGD;TRTMSCI EAFE;BEGD39;;;;
BEGE;;BEGE39;;;;
BEGU;TRUSTMSCI US;BEGU39;;;;
BELA;BELAGRICOLA;;79.038.097/0001-81;;;
BELE;BELA LUNA;;31.921.853/0001-90;;;
BEMC;BKR EME XCHI;BEMC39;;;;
BEME;XTRACKEREMM;BEME39;;;;
BEMV;MSCIEMMRKMI;BEMV39;;;;
BEPK;;;11.805.397/0001-05;;;
BEPP;;BEPP39;;;;
BEQW;XTRACKERWEIG;BEQW39;;;;
BERU;BKR MS RUSS;BERU39;;;;
BETP;;BETP3;11/10/2023;02.762.124/0001-30;Participação em outras sociedades.;ITAU CORRETORA ACOES
BEUA;;BEUA39;;;;
BEUF;BKR EURP FNC;BEUF39;;;;
BEUR;;BEUR39;;;;
BEUS;;;;;Não Classificados / Não Classificado / Não Classificados;
BEUT;;;;;Não Classificados / Não Classificado / Não Classificados;
